sepal_length,sepal_width,petal_length,petal_width,species,sepal_area,petal_area,petal_area_ratio,large_sepal_flag,petal_to_sepal_ratio,symmetry_index
5.1,3.5,1.4,0.2,setosa,17.849999999999998,0.27999999999999997,0.01568627450980392,0,0.18604651162790697,0.5692307692307692
4.9,3.0,1.4,0.2,setosa,14.700000000000001,0.27999999999999997,0.019047619047619046,0,0.20253164556962022,0.5555555555555556
4.7,3.2,1.3,0.2,setosa,15.040000000000001,0.26,0.017287234042553192,0,0.18987341772151897,0.5666666666666668
4.6,3.1,1.5,0.2,setosa,14.26,0.30000000000000004,0.02103786816269285,0,0.2207792207792208,0.5081967213114754
5.0,3.6,1.4,0.2,setosa,18.0,0.27999999999999997,0.015555555555555553,0,0.18604651162790697,0.5625
5.4,3.9,1.7,0.4,setosa,21.060000000000002,0.68,0.03228869895536562,0,0.22580645161290322,0.5211267605633803
4.6,3.4,1.4,0.3,setosa,15.639999999999999,0.42,0.026854219948849106,0,0.2125,0.5333333333333333
5.0,3.4,1.5,0.2,setosa,17.0,0.30000000000000004,0.017647058823529415,0,0.20238095238095236,0.5384615384615384
4.4,2.9,1.4,0.2,setosa,12.76,0.27999999999999997,0.021943573667711595,0,0.21917808219178078,0.5172413793103449
4.9,3.1,1.5,0.1,setosa,15.190000000000001,0.15000000000000002,0.009874917709019092,0,0.2,0.53125
5.4,3.7,1.5,0.2,setosa,19.980000000000004,0.30000000000000004,0.015015015015015015,0,0.1868131868131868,0.5652173913043479
4.8,3.4,1.6,0.2,setosa,16.32,0.32000000000000006,0.019607843137254905,0,0.21951219512195125,0.49999999999999994
4.8,3.0,1.4,0.1,setosa,14.399999999999999,0.13999999999999999,0.009722222222222222,0,0.19230769230769232,0.5483870967741936
4.3,3.0,1.1,0.1,setosa,12.899999999999999,0.11000000000000001,0.008527131782945738,0,0.16438356164383564,0.5925925925925926
5.8,4.0,1.2,0.2,setosa,23.2,0.24,0.010344827586206896,0,0.14285714285714285,0.6571428571428571
