,sepal_length,sepal_width,petal_length,petal_width,species,sepal_area,petal_area,petal_area_ratio,large_sepal_flag,petal_to_sepal_ratio,symmetry_index
count,148.0,148.0,148.0,148.0,148,148.0,148.0,148.0,148.0,148.0,148.0
unique,,,,,3,,,,,,
top,,,,,versicolor,,,,,,
freq,,,,,50,,,,,,
mean,5.85,3.0560810810810817,3.7648648648648653,1.2020270270270272,,17.838716216216216,5.805945945945946,0.3148172485146259,0.16891891891891891,0.5465407298664889,0.2657321949289679
std,0.8300069666128415,0.435534912547551,1.763108914060262,0.7598307719391596,,3.379870641248268,4.710401406676958,0.23485541401108428,0.37595255008012446,0.25302257327961497,0.20497330190050908
min,4.3,2.0,1.0,0.1,,10.0,0.11000000000000001,0.007035647279549719,0.0,0.14285714285714285,0.024390243902439008
25%,5.1,2.8,1.6,0.3,,15.655,0.42,0.023829010324855203,0.0,0.21942866688940862,0.10437226325076794
50%,5.8,3.0,4.35,1.3,,17.685,5.615,0.336695886321485,0.0,0.6397674418604651,0.17033134829745
75%,6.4,3.3,5.1,1.8,,20.4,9.7175,0.5103988603988604,0.0,0.7684210526315789,0.5211267605633803
max,7.9,4.4,6.9,2.5,,30.02,15.87,0.7927072927072927,1.0,0.8932038834951455,0.6571428571428571
